bb_perc,-6.79363349938822
k_perc,2.599800438285031
BB/K,1.8086711728688192
AVG,-3.122807271176491
OBP,-7.361019176537767
SLG,5.250813180511413
OPS,0.11332657241883606
ISO,-7.82108737812049
Spd,0.02494016670629247
BABIP,0.23739061982260984
UBR,-0.00013654666867466244
wGDP,-0.007156358741277183
wSB,0.0025161490733818354
wRC,5.586880588334293e-05
wRAA,0.00016513419233583605
wOBA,11.292396301275124
wRC+,-0.0030954214538644067
K/9,-0.9201705275797043
BB/9,2.1940944946327394
K/BB,-0.24794445699826
HR/9,-0.5098570183722029
K_p%,18.887820922549743
BB_p%,-101.81499848915543
K-BB%,20.214079268754446
AVG_p,-32.8128591798859
WHIP,5.532200654637441
BABIP_p,-2.3858071720637786
LOB%,3.380737721851751
ERA-,0.004399475600198947
FIP-,0.0070900593957745435
xFIP-,-0.01653967903495332
ERA,2.3822578672050967
FIP,-2.2142920136790005
E-F,-2.2487254746156706
xFIP,-0.10643201827293779
SIERA,0.411425327533015
int,-0.7453196842396081
